Model,Age,Art,Sport,Book/Films,Science,Travel,Cooking,Politics
Lexus RX 350 RX 350,34,0,0,1,1,1,0,1
Land Rover Range Rover P525 HSE Westminster,38,1,0,0,0,0,0,0
Dodge Journey SE,44,0,0,1,1,1,1,0
Lincoln MKZ Hybrid Reserve I,42,0,1,0,1,0,0,0
Audi Q5 S line Premium,32,0,0,0,0,0,0,1
Nissan Rogue S,37,1,0,0,0,1,0,0
Nissan Titan PRO-4X,35,1,0,1,1,1,0,0
Chevrolet Silverado 1500 LT Trail Boss,38,0,1,1,0,1,0,0
Jeep Grand Cherokee L Limited,35,1,1,1,0,1,1,1
BMW X5 M Base,36,0,0,0,0,0,1,0
Volkswagen Atlas Cross Sport 3.6L V6 SEL R-Line,26,0,0,1,0,0,1,1
Porsche 911,29,0,0,1,0,0,0,1
Subaru Impreza 2.0i Sport,45,1,1,0,0,1,0,1
BMW 435 i xDrive,45,1,1,1,1,0,1,1
Chevrolet Corvette Z06,43,0,1,1,0,1,1,1
Toyota Sequoia SR5,50,1,1,1,1,0,0,0
Mercedes-Benz AMG C 43 Base 4MATIC,29,0,0,1,1,0,1,0
Dodge Durango SXT,40,0,0,1,1,0,1,1
Toyota Camry XLE,33,0,0,1,1,0,0,0
Genesis G70 2.0T,50,0,0,1,0,0,1,1
Honda Accord Sport,49,0,1,0,0,0,1,1
BMW 328d Base,42,1,1,0,1,0,0,0
BMW 430 Gran Coupe i xDrive,49,1,0,0,1,0,1,1
INFINITI Q50 3.0T Sport,38,1,1,0,1,1,0,0
Jaguar F-PACE 35t Premium,30,1,1,0,0,0,0,1
Toyota Highlander XLE,29,0,0,0,0,1,0,0
Tesla Model X Long Range,34,1,1,1,0,0,1,1
Mercedes-Benz GLS 450 4MATIC,26,1,0,0,1,0,1,0
Mitsubishi Outlander SE,29,1,1,0,0,0,1,0
Mercedes-Benz SL 450 Base,44,1,1,0,1,0,1,1
Lexus RX 350 F SPORT Appearance,30,1,1,1,1,0,1,0
Chevrolet Equinox Premier,44,1,0,1,0,0,1,0
RAM 1500 Longhorn,26,0,0,1,1,1,1,0
BMW 750 i,32,1,0,1,1,1,0,1
INFINITI QX60 Luxe,37,1,1,1,0,1,1,1
Hyundai Santa Fe SEL Plus 2.4,50,0,1,1,0,0,1,1
Toyota 4Runner Limited 4WD,40,1,0,1,0,1,1,0
Ford Escape Titanium,38,1,1,0,0,1,1,0
RAM 1500 Lone Star,29,1,0,0,0,0,0,0
Jeep Wrangler Unlimited Sahara,26,0,0,1,1,1,0,1
Lincoln MKZ Reserve,43,0,0,0,1,1,1,0
Audi R8 4.2,29,0,1,0,1,0,0,0
GMC Yukon Denali,44,0,1,0,0,1,0,1
Lexus ES 300 Base (A5),28,1,1,1,1,0,0,1
Mercedes-Benz GLB 250 Base 4MATIC,50,0,0,0,1,0,0,0
Acura RDX w/A-Spec Package,27,1,0,1,0,1,1,1
Audi S4 3.0T Prestige,35,0,1,0,1,0,0,1
Mercury Grand Marquis LS,31,0,0,0,1,0,0,1
Jaguar F-TYPE Premium,29,0,1,0,1,1,0,0
Mercedes-Benz AMG GLE 53 4MATIC Coupe,36,1,1,0,1,1,1,1
Land Rover Defender 110 X,34,1,0,0,0,0,0,1
Audi RS 5 2.9T,26,1,1,0,1,1,1,0
