Chevrolet Cruze,легковой автомобиль хэтчбэк,46
Kia Stinger,минивэн,27
BMW X3,легковой автомобиль седан,24
Volvo S90,минивэн,43
Jaguar XJ,кроссовер,21
Nissan Pathfinder,легковой автомобиль седан,50
LADA Granta,легковой автомобиль хэтчбэк,44
Nissan Sentra,минивэн,62
Chevrolet Malibu,легковой автомобиль хэтчбэк,24
Chevrolet Silverado,кроссовер,49
Subaru WRX,легковой автомобиль седан,38
Chevrolet Silverado,минивэн,55
LADA Priora,кроссовер,19
Audi Q3,кроссовер,24
Nissan Rogue,легковой автомобиль седан,51
Mazda RX-8,минивэн,49
BMW 3 Series,минивэн,65
Audi Q3,кроссовер,38
Ferrari 458,кроссовер,33
Volkswagen Atlas,легковой автомобиль седан,21
Ford Fusion,легковой автомобиль седан,24
Kia Optima,кроссовер,67
Porsche Panamera,минивэн,63
Audi Q3,минивэн,40
Mazda MX-5,кроссовер,55
Volvo XC60,кроссовер,21
Hyundai Santa Fe,легковой автомобиль седан,28
Mercedes-Benz C-Class,минивэн,29
Nissan Versa,легковой автомобиль седан,29
Porsche Cayman,легковой автомобиль хэтчбэк,42
Honda CR-V,легковой автомобиль хэтчбэк,56
Hyundai Tucson,легковой автомобиль седан,68
Mercedes-Benz C-Class,минивэн,52
Mercedes-Benz C-Class,легковой автомобиль седан,50
Nissan Rogue,минивэн,38
BMW X1,минивэн,45
Lamborghini Huracan,кроссовер,25
Hyundai Tucson,легковой автомобиль седан,23
LADA XRAY,минивэн,64
LADA Granta,минивэн,33
Lamborghini Reventon,легковой автомобиль хэтчбэк,68
Volvo V90,минивэн,19
Toyota Tacoma,легковой автомобиль хэтчбэк,59
Audi A4,легковой автомобиль хэтчбэк,45
Ford Mustang,минивэн,33
Volvo S90,легковой автомобиль седан,54
Subaru Crosstrek,кроссовер,70
Mercedes-Benz E-Class,кроссовер,45
Porsche Panamera,минивэн,60
LADA XRAY,легковой автомобиль седан,59
Ferrari 458,легковой автомобиль хэтчбэк,47
Honda Civic,легковой автомобиль седан,29
Ford Fiesta,кроссовер,52
Kia Sorento,легковой автомобиль хэтчбэк,63
Audi Q7,легковой автомобиль седан,70
Audi Q5,минивэн,61
Volkswagen Tiguan,легковой автомобиль седан,19
BMW 7 Series,кроссовер,32
Ferrari Portofino,кроссовер,30
Lamborghini Huracan,легковой автомобиль седан,27
LADA XRAY,кроссовер,22
Volvo V90,легковой автомобиль седан,57
Toyota Tacoma,минивэн,52
Audi A6,легковой автомобиль седан,30
Honda Accord,кроссовер,38
Honda Fit,кроссовер,22
Mazda RX-8,легковой автомобиль хэтчбэк,70
Porsche Macan,легковой автомобиль седан,32
Nissan Rogue,минивэн,34
Nissan Rogue,кроссовер,56
Audi Q3,легковой автомобиль хэтчбэк,44
Porsche Panamera,легковой автомобиль седан,33
BMW X1,легковой автомобиль седан,25
Lamborghini Urus,минивэн,54
BMW 7 Series,кроссовер,62
Volvo XC60,легковой автомобиль седан,60
Lamborghini Reventon,легковой автомобиль хэтчбэк,25
Kia Optima,легковой автомобиль седан,33
Hyundai Kona,легковой автомобиль хэтчбэк,67
BMW 5 Series,легковой автомобиль седан,39
Porsche Cayman,кроссовер,26
BMW X5,легковой автомобиль хэтчбэк,49
Audi A3,легковой автомобиль седан,37
Audi A3,легковой автомобиль седан,44
Mercedes-Benz GLC,минивэн,64
Mercedes-Benz GLE,минивэн,33
Volkswagen Passat,легковой автомобиль хэтчбэк,35
Hyundai Tucson,минивэн,54
Toyota Camry,кроссовер,40
Volvo V90,легковой автомобиль седан,61
Ford Focus,легковой автомобиль хэтчбэк,62
Mercedes-Benz C-Class,минивэн,59
Chevrolet Traverse,минивэн,18
Toyota Prius,легковой автомобиль хэтчбэк,28
LADA Kalina,минивэн,62
Honda Accord,кроссовер,50
Jaguar F-Pace,легковой автомобиль хэтчбэк,36
Volvo XC60,кроссовер,46
Ford Focus,легковой автомобиль седан,70
Honda Civic,кроссовер,54
Ferrari GTC4Lusso,легковой автомобиль хэтчбэк,18
Mazda CX-9,легковой автомобиль седан,54
Jaguar XF,кроссовер,20
Lamborghini Sian,минивэн,52
Toyota Camry,минивэн,47
Ferrari GTC4Lusso,минивэн,26
Mazda CX-5,легковой автомобиль хэтчбэк,43
Honda Civic,кроссовер,28
Mazda MX-5,легковой автомобиль седан,44
