Model,Age,Art,Sport,Book/Films,Science,Travel,Cooking,Politics
Audi Q5 Premium,49,1,1,1,0,1,1,1
Subaru XV Crosstrek 2.0i Premium,47,0,1,1,0,0,0,1
Subaru Forester 2.5X,40,1,1,0,1,0,0,1
Chrysler Town & Country Touring-L,30,1,1,0,1,0,1,0
Cadillac XT6 Sport AWD,49,0,1,1,1,0,0,0
Audi Q7 3.0T Premium Plus,47,1,0,0,0,0,1,1
Audi A7 3.0T Prestige,28,1,0,0,1,1,1,1
Lexus RX 350 RX 350,36,0,0,0,1,0,0,1
Porsche 718 Cayman S,58,0,1,0,1,0,0,0
Audi Q5 45 Prestige,49,1,1,0,0,1,1,0
Acura ILX Premium & A-SPEC Packages,51,0,1,0,1,1,0,0
Chevrolet Tahoe LTZ,40,1,1,0,0,0,0,0
Hyundai Elantra GLS,42,1,1,0,0,1,1,0
Mercedes-Benz GLK-Class GLK 350 4MATIC,52,1,0,0,0,1,1,0
Kia Sorento LX V6,22,1,1,0,1,0,1,1
Mercedes-Benz GLE 350 4MATIC,48,0,0,1,0,0,0,1
Nissan Maxima 3.5 S,47,1,0,1,0,0,0,1
BMW 328 i,36,0,0,1,1,1,0,1
Audi A7 3.0T Premium Plus,36,0,1,1,1,1,1,0
Honda Pilot Touring,38,0,0,0,0,1,1,1
Dodge Charger R/T Scat Pack,18,0,1,1,1,0,0,1
Subaru Outback 3.6R Limited,52,1,0,1,0,1,0,0
Mercedes-Benz GLC 300 4MATIC Coupe,56,1,0,0,0,0,0,0
Hyundai Santa Fe Limited 2.0T,48,0,1,0,1,1,1,1
Kia Seltos LX,57,0,1,0,1,0,1,1
Audi A6 2.0T Premium Plus quattro,28,1,0,0,0,0,1,0
BMW 750 i xDrive,44,1,0,1,1,1,1,1
Kia Telluride EX,43,0,1,1,0,1,0,0
Jaguar F-TYPE S,32,0,0,1,0,0,0,0
Acura TLX Advance,19,0,0,1,0,0,1,1
Hyundai Santa Fe Calligraphy,24,1,0,1,1,0,1,1
Mercedes-Benz CLA 250 Base,56,1,0,0,1,0,1,1
Audi A6 3.0T Prestige,48,1,0,0,0,0,0,0
Alfa Romeo Stelvio Base,53,1,0,1,1,0,1,0
Mazda CX-5 Carbon Edition Turbo,53,0,1,1,0,0,0,0
Mercedes-Benz E-Class E 450 4MATIC,43,1,1,1,1,0,0,1
Toyota Sienna SE,41,0,1,1,0,1,1,0
BMW M550 M550i xDrive,49,0,1,0,1,1,1,0
BMW 320 i,33,1,1,0,0,1,1,0
Mercedes-Benz GLC 300 Base,56,1,0,1,0,0,1,0
Ford Escape Titanium,54,0,1,1,0,1,1,1
Honda Accord Touring 2.0T,31,1,0,0,0,1,0,0
Mercedes-Benz AMG E 63 S 4MATIC,29,0,1,0,0,0,1,1
Tesla Model X Performance,30,0,1,1,0,1,1,0
Cadillac CT6 3.0L Twin Turbo Luxury,18,1,0,0,1,0,1,1
Chrysler 200 Limited,60,0,1,0,1,0,1,0
Audi A6 2.0T Premium Plus,51,1,0,1,1,0,1,1
BMW 330 i,60,0,0,0,1,1,0,0
Dodge Charger Scat Pack,28,0,0,1,0,1,1,0
GMC Sierra 3500 Denali,28,0,1,1,1,1,0,0
Honda Passport Sport,47,1,1,0,0,0,0,1
GMC Sierra 1500 AT4,58,0,1,0,0,1,1,1
Mazda Mazda3 Premium Plus,42,1,1,0,1,1,0,1
Lincoln MKZ Premiere,48,1,0,0,1,1,1,1
Dodge Dakota Big Horn/Lone Star,18,0,1,0,1,0,1,1
Audi A3 2.0T Premium Plus,22,0,1,1,0,0,1,0
